Thinking enabled,GPU execution,Latency mode,Skipped segments,ASR degraded segments,Q,Method,Memory nodes,Retrieval queries,Qwen calls,Embed ms,Dense ms,Sparse ms,StreamMeCo/Mandol ms,Graph lookup ms,Rerank ms,Retrieval total ms,Qwen answer/controller ms,End-to-end ms,Answer,Correct
False,concurrent with Gemini; contention possible,warm_retrieval_uncached_question,1,0,1,A,296,4,6,1611.137788015185,126.87656799971592,0.0,0.7883720245445147,0.8732990099815652,0.0,1741.2998850049917,55738.93713201687,57482.91032599809,,False
False,concurrent with Gemini; contention possible,warm_retrieval_uncached_question,1,0,1,B,296,1,1,240.00282300403342,41.661251001642086,0.0,0.214793995837681,0.4404290084494278,0.0,282.730309991166,296.95720500603784,580.3498320019571,B,True
False,concurrent with Gemini; contention possible,warm_retrieval_uncached_question,1,0,1,C,230,1,1,225.84860600181855,30.781898007262498,0.0,0.1906489924294874,0.3981400077464059,0.0,257.6228749967413,296.63241100206506,554.8750739981188,C,False
False,concurrent with Gemini; contention possible,warm_retrieval_uncached_question,1,0,1,D,296,1,1,695.9889290010324,8.884339011274278,15.170056009083055,0.31212600879371166,0.7157421496231109,1559.65179100167,2273.4905679972144,3889.8914180026622,6164.386946999002,D,False
False,concurrent with Gemini; contention possible,warm_retrieval_uncached_question,3,0,2,A,687,4,6,2150.0272899866104,275.149663008051,0.0,2.269567979965359,1.9439349853200838,0.0,2431.5195759991184,42616.521952004405,45050.980615007575,,False
False,concurrent with Gemini; contention possible,warm_retrieval_uncached_question,3,0,2,B,687,1,1,259.8926299979212,89.49835300154518,0.0,0.5888190062250942,0.7175310020102188,0.0,351.2341730092885,253.34040900634136,604.9902550003026,B,False
False,concurrent with Gemini; contention possible,warm_retrieval_uncached_question,3,0,2,C,539,1,1,346.82894199795555,52.76275299547706,0.0,0.3882910095853731,0.6103899941081181,0.0,401.0454329982167,258.7048150016926,660.43922600511,B,False
False,concurrent with Gemini; contention possible,warm_retrieval_uncached_question,3,0,2,D,687,1,1,667.0364909950877,2.8328309999778867,17.385865008691326,0.39470300544053316,1.203748892294243,1652.621661007288,2330.033353995532,990.5798280087765,3321.6950979985995,B,False
False,concurrent with Gemini; contention possible,warm_retrieval_uncached_question,3,0,3,A,695,4,6,1440.0299080007244,285.0692589854589,0.0,2.488575002644211,2.141276010661386,0.0,1732.0843480119947,49224.29195299628,50959.362093999516,B,False
False,concurrent with Gemini; contention possible,warm_retrieval_uncached_question,3,0,3,B,695,1,1,187.02396300795954,76.50629499403294,0.0,0.5458270024973899,0.7568349974462762,0.0,265.3876759868581,255.85044600302354,521.7763149994425,D,True
False,concurrent with Gemini; contention possible,warm_retrieval_uncached_question,3,0,3,C,546,1,1,304.2599939944921,81.79600800212938,0.0,0.5081970011815429,0.641317994450219,0.0,387.67888701113407,258.9128950057784,647.3765809932956,D,True
False,concurrent with Gemini; contention possible,warm_retrieval_uncached_question,3,0,3,D,695,1,1,675.303829004406,2.6078459923155606,17.752175001078285,0.41194500226993114,1.1443048570072278,1631.8353550013853,2317.0266300003277,1013.7626869982341,3331.8857200065395,B,False
False,concurrent with Gemini; contention possible,warm_retrieval_uncached_question,3,0,4,A,921,4,6,1815.835658024298,403.1368390133139,0.0,3.322949996800162,2.9268039943417534,0.0,2227.963365003234,44838.71465599805,47069.99639299465,D,False
False,concurrent with Gemini; contention possible,warm_retrieval_uncached_question,3,0,4,B,921,1,1,364.2447329912102,97.61936700670049,0.0,0.7692079961998388,0.9533650008961558,0.0,464.19808799691964,254.04644600348547,718.6856250045821,C,True
False,concurrent with Gemini; contention possible,warm_retrieval_uncached_question,3,0,4,C,721,1,1,263.98947699635755,80.72049300244544,0.0,0.6306669965852052,0.8337390027008951,0.0,346.7125409952132,258.29082100244705,605.5662709986791,B,False
False,concurrent with Gemini; contention possible,warm_retrieval_uncached_question,3,0,4,D,921,1,1,608.2187069987413,2.9368360119406134,17.4353469919879,0.45133900130167603,1.1939118994632736,1691.984727003728,2309.7193989960942,1016.6724890004843,3327.742548994138,B,False
False,concurrent with Gemini; contention possible,warm_retrieval_uncached_question,3,1,5,A,1302,4,6,1396.6332350100856,515.8479050005553,0.0,4.553667997242883,4.324206995079294,0.0,1924.6257099875947,46963.87577900896,48891.90414598852,A,False
False,concurrent with Gemini; contention possible,warm_retrieval_uncached_question,3,1,5,B,1302,1,1,387.2336749918759,128.0754430044908,0.0,1.1600750003708526,1.3392419932642952,0.0,518.5869919951074,263.55615399370436,782.967788996757,D,False
False,concurrent with Gemini; contention possible,warm_retrieval_uncached_question,3,1,5,C,1015,1,1,314.6517459972529,104.11179299990181,0.0,0.980116004939191,1.100141991628334,0.0,421.5147299983073,256.70323200756684,678.6751030012965,D,False
False,concurrent with Gemini; contention possible,warm_retrieval_uncached_question,3,1,5,D,1302,1,1,631.8144380056765,4.178322007646784,25.234012995497324,0.6250059959711507,1.645522119360976,1577.016650000587,2222.5091569998767,1045.332284993492,3269.4743539905176,D,False
False,concurrent with Gemini; contention possible,warm_retrieval_uncached_question,3,1,6,A,1342,4,6,1156.3104960077908,527.7173099893844,0.0,5.468181989272125,4.656611985410564,0.0,1697.769612990669,65363.528788031545,67064.97558900446,C,False
False,concurrent with Gemini; contention possible,warm_retrieval_uncached_question,3,1,6,B,1342,1,1,218.89071101031732,147.66198399593122,0.0,1.3974419998703524,1.3584970001829788,0.0,370.10562600335106,254.45739699352998,625.1355400017928,B,False
False,concurrent with Gemini; contention possible,warm_retrieval_uncached_question,3,1,6,C,1047,1,1,291.93585699249525,108.4809689928079,0.0,0.9279169898945838,1.129316005972214,0.0,403.1716439931188,255.1566659967648,658.7586809910135,B,False
False,concurrent with Gemini; contention possible,warm_retrieval_uncached_question,3,1,6,D,1342,1,1,654.197715994087,2.813843995681964,17.29181900736876,0.4151210014242679,1.4715380821144208,1637.5036040117266,2302.8166570002213,1032.1047589968657,3335.9978319931543,B,False
False,concurrent with Gemini; contention possible,warm_retrieval_uncached_question,3,1,7,A,1521,4,6,3608.794959000079,632.7549670095323,0.0,6.233440988580696,5.267347994958982,0.0,4256.770168998628,43140.01263999671,47400.03168300609,D,False
False,concurrent with Gemini; contention possible,warm_retrieval_uncached_question,3,1,7,B,1521,1,1,217.97036498901434,163.84092200314626,0.0,1.3999470102135092,15.07246600522194,0.0,399.2837330006296,261.42852401244454,661.4610770047875,C,True
False,concurrent with Gemini; contention possible,warm_retrieval_uncached_question,3,1,7,C,1184,1,1,276.24809100234415,114.73629000829533,0.0,1.0945809917757288,1.2113200064050034,0.0,394.050946997595,255.2363839931786,649.8158250033157,C,True
False,concurrent with Gemini; contention possible,warm_retrieval_uncached_question,3,1,7,D,1521,1,1,688.3698190067662,2.8656530048465356,18.154118995880708,0.4474930028663948,1.7874888144433498,1617.0407799945679,2318.998085000203,1023.2104979950236,3343.468484992627,C,True
False,concurrent with Gemini; contention possible,warm_retrieval_uncached_question,3,2,8,A,1786,4,6,1793.0080179939978,719.3505100149196,0.0,6.035115002305247,6.996134005021304,0.0,2529.508147985325,80258.65173903003,82791.54956599814,A,False
False,concurrent with Gemini; contention possible,warm_retrieval_uncached_question,3,2,8,B,1786,1,1,293.0070820002584,186.89394200919196,0.0,1.8124640046153218,2.3567269963677973,0.0,485.19621799641754,259.51734199770726,745.3069550101645,D,True
